name,location,body_type,year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,new_price,price
2021 Maruti Dzire VXI,Noida,Sedan,2021,60706,Petrol,Manual,1,23.0,1197.0,89.0,5.0,900000.0,703000.0
2017 Maruti Swift VXI,Ghaziabad,Hatchback,2017,69042,Petrol,Manual,2,22.0,1197.0,88.0,5.0,850000.0,488000.0
2011 Maruti Alto K10 VXI,Faridabad,Hatchback,2011,34213,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,191000.0
2015 Maruti Swift Dzire VDI ABS,Delhi,Hatchback,2015,89450,Diesel,Manual,2,22.0,1197.0,88.0,5.0,850000.0,582000.0
2017 Maruti Dzire VDI AMT,Gurugram,Sedan,2017,77742,Diesel,Automatic,1,23.0,1197.0,89.0,5.0,900000.0,643000.0
2021 Maruti Dzire VXI,Noida,Sedan,2021,45407,Petrol,Manual,1,23.0,1197.0,89.0,5.0,900000.0,690000.0
2014 Maruti Swift Dzire ZDI,Ghaziabad,Hatchback,2014,98752,Diesel,Manual,1,22.0,1197.0,88.0,5.0,850000.0,527000.0
2015 Maruti Swift VDI ABS,Faridabad,Hatchback,2015,90513,Diesel,Manual,1,22.0,1197.0,88.0,5.0,850000.0,521000.0
2015 Maruti Alto 800 LXI,Delhi,Hatchback,2015,110664,Petrol,Manual,2,24.0,998.0,66.0,5.0,600000.0,209000.0
2018 Maruti Dzire VXI AMT,Gurugram,Sedan,2018,68760,Petrol,Automatic,1,23.0,1197.0,89.0,5.0,900000.0,599000.0
2023 Maruti BREZZA ZXI SMART HYBRID,Noida,SUV,2023,22737,Petrol,Manual,1,18.7,1462.0,103.0,5.0,1150000.0,1146000.0
2020 Maruti Dzire VXI AMT,Ghaziabad,Sedan,2020,41774,Petrol,Automatic,1,23.0,1197.0,89.0,5.0,900000.0,705000.0
2022 Maruti BREZZA ZXI SMART HYBRID,Faridabad,SUV,2022,66111,Petrol,Manual,1,18.7,1462.0,103.0,5.0,1150000.0,1058000.0
2023 Maruti BREZZA ZXI SMART HYBRID,Delhi,SUV,2023,12590,Petrol,Manual,1,18.7,1462.0,103.0,5.0,1150000.0,1146000.0
2021 Maruti Dzire ZXI,Gurugram,Sedan,2021,39505,Petrol,Manual,1,23.0,1197.0,89.0,5.0,900000.0,783000.0
2013 Maruti Swift ZDI,Noida,Hatchback,2013,102255,Diesel,Manual,1,22.0,1197.0,88.0,5.0,850000.0,438000.0
2020 Maruti Baleno DELTA PETROL 1.2,Ghaziabad,Hatchback,2020,61979,Petrol,Manual,1,22.3,1197.0,89.0,5.0,900000.0,637000.0
2017 Maruti Wagon R 1.0 VXI+ (O) MT,Faridabad,Hatchback,2017,92836,Petrol,Manual,1,22.0,1197.0,88.0,5.0,750000.0,392000.0
2018 Maruti Swift ZXI AMT,Delhi,Hatchback,2018,76836,Petrol,Automatic,1,22.0,1197.0,88.0,5.0,850000.0,631000.0
2023 Maruti Dzire ZXI AMT,Gurugram,Sedan,2023,10289,Petrol,Automatic,1,23.0,1197.0,89.0,5.0,900000.0,829000.0
2016 Maruti Swift Dzire VXI (O),Noida,Hatchback,2016,34781,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,515000.0
2017 Maruti Swift VXI,Ghaziabad,Hatchback,2017,63852,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,527000.0
2021 Maruti Swift ZXI,Faridabad,Hatchback,2021,62062,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,679000.0
2014 Maruti Swift VXI,Delhi,Hatchback,2014,54507,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,429000.0
2011 Maruti Alto K10 VXI,Gurugram,Hatchback,2011,50057,Petrol,Manual,1,24.0,998.0,66.0,5.0,600000.0,182000.0
2017 Maruti Dzire VDI AMT,Noida,Sedan,2017,95453,Diesel,Automatic,1,23.0,1197.0,89.0,5.0,900000.0,640000.0
2022 Maruti XL6 ZETA AT,Ghaziabad,MPV,2022,41145,Petrol,Automatic,1,20.3,1462.0,103.0,6.0,1200000.0,1193000.0
2017 Maruti Vitara Brezza VDI (O),Faridabad,SUV,2017,45146,Diesel,Manual,1,18.7,1462.0,103.0,5.0,1150000.0,747000.0
2016 Maruti Swift Dzire ZXI,Delhi,Hatchback,2016,38023,Petrol,Manual,1,22.0,1197.0,88.0,5.0,850000.0,623000.0
2013 Maruti Swift Dzire VXI REGAL EDITION,Gurugram,Hatchback,2013,52178,Petrol,Manual,2,22.0,1197.0,88.0,5.0,850000.0,420000.0
2021 Maruti S PRESSO VXI+,Noida,Other,2021,18842,Petrol,Manual,2,,,,,,427000.0
